step,lr,ms_per_batch,global_tokens_sec,train_loss,train_ppl,train_acc,val_loss,val_ppl,val_acc,alloc_mem_mb,interval_peak_mem_mb,cumulative_peak_mem_mb,elapsed_time_s,amp,ddp
300,1.5,133.09695800145468,184647.34558194334,7.577473804155986,1953.6873294338252,0.08703857421875,6.728231160153962,835.6677953721264,0.11952943816862423,1418.15966796875,4998.71484375,4998.71484375,41.092211961746216,0,1
600,1.5,132.20194896062216,185897.41069036917,6.497527616818746,663.4991792818497,0.12282430013020833,6.372339153518101,585.4256289399924,0.11893562504675693,1418.15966796875,4998.71484375,4998.71484375,82.15024709701538,0,1
900,1.4249999999999998,132.56646871566772,185386.24614578288,6.266371143658956,526.5630848418012,0.13420694986979168,6.142111401947825,465.03440958069416,0.15349367846188375,1418.15966796875,4998.71484375,4998.71484375,123.32064270973206,0,1
1200,1.3537499999999998,132.7459446589152,185135.59915632027,6.113617156346639,451.9706103400319,0.14311360677083335,6.039171031840034,419.5451011630763,0.14648948904017356,1418.15966796875,4998.71484375,4998.71484375,164.5471475124359,0,1
1500,1.2860624999999997,132.93986082077026,184865.54633251348,5.997071615854899,402.24912711136994,0.14982666015625,5.97146797472692,392.0808132240196,0.14644273210144385,1418.15966796875,4998.71484375,4998.71484375,205.82949900627136,0,1
1800,1.2217593749999995,133.0724056561788,184681.41369216234,5.898652620315552,364.54595499864934,0.15533487955729167,5.834713025555754,341.96658429723277,0.16792286975387147,1418.15966796875,4998.71484375,4998.71484375,247.1549174785614,0,1
2100,1.1606714062499994,133.19001277287802,184518.33953877736,5.807748441696167,332.8688077710697,0.16258341471354168,5.740809999104791,311.31647494783226,0.1752076008079599,1418.15966796875,4998.71484375,4998.71484375,288.5220227241516,0,1
2400,1.1026378359374993,133.33599964777628,184316.3141606211,5.728976016044617,307.6540741922767,0.16780680338541668,5.62738880101964,277.9354245785975,0.18209022218897283,1418.15966796875,4998.71484375,4998.71484375,329.9198145866394,0,1
2700,1.0475059441406243,133.54841709136963,184023.14707471128,5.66862077554067,289.6347874016328,0.17472941080729168,5.584538010016264,266.2772369023358,0.17144366724021845,1418.15966796875,4998.71484375,4998.71484375,371.39908146858215,0,1
3000,0.995130646933593,133.4395456314087,184173.28898799367,5.608495976130167,272.7337313341895,0.179156494140625,5.51933641562851,249.46943823095566,0.17743790678536694,1418.15966796875,4998.71484375,4998.71484375,412.830961227417,0,1
