step,lr,ms_per_batch,global_tokens_sec,train_loss,train_ppl,train_acc,val_loss,val_ppl,val_acc,alloc_mem_mb,interval_peak_mem_mb,cumulative_peak_mem_mb,elapsed_time_s,amp,ddp,param_count
300,1.5,87.49552408854167,93627.64650349488,7.422241570154826,1672.7789597215071,0.08958536783854167,6.80311429578168,900.6478122446513,0.10275304855240518,1171.34228515625,4404.1015625,4404.1015625,27.27832555770874,0,0,26621616
600,1.5,86.59824689229329,94597.75796834331,6.532263882954916,686.9516305361224,0.11926920572916666,6.396953305658036,600.0141904329379,0.14457713024612853,1171.34228515625,4404.1015625,4404.1015625,54.40321350097656,0,0,26621616
900,1.4249999999999998,87.29186693827312,93846.08540670607,6.294198913574219,541.4219468485413,0.13207926432291667,6.196235426328227,490.897538272378,0.1231764793895414,1171.34228515625,4404.1015625,4404.1015625,81.77734375,0,0,26621616
1200,1.3537499999999998,87.62662967046101,93487.56229479321,6.134647455215454,461.57633900039036,0.14143880208333334,6.113430929030567,451.8864489031473,0.14397864143038827,1171.34228515625,4404.1015625,4404.1015625,109.2913429737091,0,0,26621616
1500,1.2860624999999997,87.88657347361247,93211.05233963422,6.030463277498881,415.9076654195707,0.14667521158854166,5.995575882586419,401.64791944497244,0.16203149547392834,1171.34228515625,4404.1015625,4404.1015625,136.8714964389801,0,0,26621616
1800,1.2217593749999995,88.00719181696574,93083.30184012045,5.9533465162913,385.03972712088034,0.15241943359375,5.901804445711491,365.69675280180275,0.16805378918231464,1171.34228515625,4404.1015625,4404.1015625,164.47057247161865,0,0,26621616
2100,1.1606714062499994,88.08261473973592,93003.59695503472,5.881548096338908,358.363593870532,0.158717041015625,5.8300944777998325,340.39083692997923,0.15849199521208948,1171.34228515625,4404.1015625,4404.1015625,192.08915162086487,0,0,26621616
2400,1.1026378359374993,87.98238039016724,93109.55174969924,5.7984827009836835,329.79877672729805,0.162611083984375,5.758686792184307,316.93185812821713,0.1653465624298646,1171.34228515625,4404.1015625,4404.1015625,219.70010662078857,0,0,26621616
2700,1.0475059441406243,88.04901202519734,93039.09051989886,5.730442673365275,308.1056283490817,0.16760457356770833,5.669539419779061,289.90098098019536,0.18151511184259744,1171.34228515625,4404.1015625,4404.1015625,247.30813264846802,0,0,26621616
3000,0.995130646933593,88.30129146575928,92773.27504520841,5.68054671605428,293.1096338680255,0.17105631510416666,5.631118990769068,278.97411249749194,0.18065010847609786,1171.34228515625,4404.1015625,4404.1015625,274.99360370635986,0,0,26621616
