step,lr,ms_per_batch,global_tokens_sec,train_loss,train_ppl,train_acc,val_loss,val_ppl,val_acc,alloc_mem_mb,interval_peak_mem_mb,cumulative_peak_mem_mb,elapsed_time_s,amp,ddp,param_count
300,1.5,103.10564756393433,79452.48580995778,7.415313127835591,1661.2292640881813,0.09294718424479166,6.7684864903687805,869.9941525061828,0.11316581880751103,1213.81396484375,4512.14599609375,4512.14599609375,32.06221532821655,0,0,31741680
600,1.5,101.4049744606018,80784.99150140591,6.505450749397278,668.7770522784923,0.12061808268229167,6.364620850813401,580.9245294937687,0.1490283908131967,1213.81396484375,4512.14599609375,4512.14599609375,63.79157471656799,0,0,31741680
900,1.4249999999999998,101.5317948659261,80684.08532339676,6.277779026031494,532.6044486408542,0.132989501953125,6.201275566944663,493.3779765214334,0.14756022293708387,1213.81396484375,4512.14599609375,4512.14599609375,95.56564784049988,0,0,31741680
1200,1.3537499999999998,101.47266387939453,80731.10221819556,6.115792318979899,452.954789910248,0.142755126953125,6.09598975856864,444.07335314322955,0.15081918156654447,1213.81396484375,4512.14599609375,4512.14599609375,127.3287615776062,0,0,31741680
1500,1.2860624999999997,101.63275003433228,80603.93915576114,6.01256754398346,408.5308958939784,0.14794352213541667,5.9604927860487456,387.80118017034306,0.15726228772349818,1213.81396484375,4512.14599609375,4512.14599609375,159.14534878730774,0,0,31741680
1800,1.2217593749999995,101.49126370747884,80716.30700757878,5.933012510935465,377.28939196919873,0.15383870442708333,5.915363507646447,370.6890265118763,0.14434334555248,1213.81396484375,4512.14599609375,4512.14599609375,190.91961002349854,0,0,31741680
2100,1.1606714062499994,101.44145409266154,80755.94019499198,5.862813285191854,351.7122202791813,0.15892374674479168,5.804341524302081,331.7366808664053,0.165281102715643,1213.81396484375,4512.14599609375,4512.14599609375,222.66953945159912,0,0,31741680
2400,1.1026378359374993,101.56320810317993,80659.12994474925,5.780476263364156,323.91342178290665,0.16384318033854167,5.744841282499873,312.57401292684557,0.16509875065459714,1213.81396484375,4512.14599609375,4512.14599609375,254.463210105896,0,0,31741680
2700,1.0475059441406243,101.41507228215535,80776.9478012928,5.709329686164856,301.6687877325903,0.16991739908854167,5.670063410663583,290.0529262571365,0.17924272462033367,1213.81396484375,4512.14599609375,4512.14599609375,286.2016899585724,0,0,31741680
3000,0.995130646933593,101.50556723276775,80704.93297391753,5.660643105506897,287.3333688222529,0.17323689778645834,5.612169112390076,273.73736159900295,0.18597104810353857,1213.81396484375,4512.14599609375,4512.14599609375,317.97741198539734,0,0,31741680
